mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Mayo,Viernes,7,Escuintla,99,Hombre,25,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Julio,Martes,7,Sacatepequez,99,Hombre,28,No Ebrio,Camion,Blanco,1989,Colision,2010
Julio,Martes,7,Sacatepequez,99,Ignorado,999,Ignorado,Pick-up,Azul,1994,Colision,2010
Diciembre,Lunes,7,Guatemala,1,Hombre,27,No Ebrio,Bus urbano,Amarillo,1984,Colision,2010
Diciembre,Lunes,7,Guatemala,1,Hombre,24,No Ebrio,Bus urbano,Rojo,9999,Colision,2010
Mayo,Domingo,7,Izabal,99,Hombre,30,No Ebrio,Pick-up,Gris,1987,Colision,2010
Mayo,Domingo,7,Izabal,99,Hombre,25,No Ebrio,Microbus,Verde,9999,Colision,2010
Septiembre,Jueves,7,Guatemala,5,Hombre,50,No Ebrio,Automovil,Blanco,9999,Colision,2010
Septiembre,Jueves,7,Guatemala,5,Hombre,20,No Ebrio,Automovil,Gris,9999,Colision,2010
Septiembre,Jueves,7,Guatemala,5,Hombre,60,No Ebrio,Automovil,Gris,9999,Colision,2010
Septiembre,Jueves,7,Guatemala,5,Hombre,31,No Ebrio,Automovil,Rojo,9999,Colision,2010
Enero,Sabado,7,Guatemala,99,Hombre,27,Ebrio,Automovil,Blanco,9999,Colision,2010
Enero,Sabado,7,Guatemala,99,Hombre,50,Ignorado,Automovil,Negro,9999,Colision,2010
Noviembre,Viernes,7,Guatemala,12,Hombre,28,Ignorado,Jeep,Blanco,1996,Colision,2010
Noviembre,Viernes,7,Guatemala,12,Hombre,31,Ignorado,Automovil,Rojo,2001,Colision,2010
Agosto,Domingo,7,Zacapa,99,Mujer,19,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Agosto,Domingo,7,Zacapa,99,Ignorado,999,Ignorado,Pick-up,Ignorado,9999,Colision,2010
Noviembre,Sabado,7,Santa Rosa,99,Hombre,28,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Noviembre,Sabado,7,Santa Rosa,99,Hombre,41,No Ebrio,Pick-up,Rojo,9999,Colision,2010
Agosto,Lunes,7,Izabal,99,Hombre,44,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Agosto,Lunes,7,Izabal,99,Ignorado,999,Ignorado,Pick-up,Ignorado,9999,Colision,2010
Noviembre,Domingo,7,Chiquimula,99,Hombre,20,Ebrio,Motocicleta,Azul,9999,Colision,2010
Noviembre,Domingo,7,Chiquimula,99,Hombre,19,No Ebrio,Pick-up,Gris,9999,Colision,2010
Agosto,Miercoles,7,Alta Verapaz,99,Ignorado,999,Ignorado,Automovil,Ignorado,9999,Colision,2010
Agosto,Miercoles,7,Alta Verapaz,99,Mujer,95,No Ebrio,Microbus,Ignorado,9999,Colision,2010
Mayo,Sabado,7,Peten,99,Hombre,42,No Ebrio,Mototaxi,Ignorado,9999,Colision,2010
Mayo,Sabado,7,Peten,99,Ignorado,999,Ignorado,Automovil,Rojo,9999,Colision,2010
Abril,Miercoles,7,Guatemala,12,Hombre,36,Ignorado,Bus escolar,Amarillo,9999,Colision,2010
Abril,Miercoles,7,Guatemala,12,Hombre,36,Ignorado,Cabezal,Ignorado,9999,Colision,2010
Septiembre,Martes,7,Chimaltenango,99,Ignorado,999,Ignorado,Camion,Negro,1984,Colision,2010
Diciembre,Miercoles,7,Zacapa,99,Hombre,27,Ignorado,Automovil,Gris,9999,Colision,2010
Diciembre,Miercoles,7,Zacapa,99,Hombre,35,Ignorado,Pick-up,Gris,9999,Colision,2010
Marzo,Viernes,7,Santa Rosa,99,Hombre,56,Ignorado,Bus urbano,Amarillo,9999,Colision,2010
Marzo,Viernes,7,Santa Rosa,99,Hombre,20,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Diciembre,Jueves,7,Chiquimula,99,Hombre,999,No Ebrio,Camion,Blanco,1988,Colision,2010
Diciembre,Jueves,7,Chiquimula,99,Hombre,999,No Ebrio,Microbus,Blanco,2004,Colision,2010
Abril,Martes,7,Quetzaltenango,99,Hombre,35,No Ebrio,Camioneta,Negro,2000,Colision,2010
Abril,Martes,7,Quetzaltenango,99,Hombre,33,No Ebrio,Camion,Azul,9999,Colision,2010
Junio,Martes,7,Quiche,99,Hombre,16,No Ebrio,Pick-up,Rojo,1985,Vuelco,2010
Mayo,Sabado,7,Guatemala,7,Hombre,22,Ebrio,Automovil,Negro,9999,Choque,2010
Abril,Jueves,7,Zacapa,99,Hombre,50,No Ebrio,Automovil,Gris,2003,Caida,2010
Febrero,Jueves,7,Jalapa,99,Hombre,43,Ignorado,Pick-up,Corinto,9999,Vuelco,2010
Noviembre,Martes,7,Santa Rosa,99,Hombre,33,Ignorado,Camion,Ignorado,9999,Caida,2010
Junio,Viernes,7,Guatemala,9,Hombre,27,No Ebrio,Motocicleta,Azul,9999,Choque,2010
Febrero,Lunes,7,Peten,99,Hombre,30,Ignorado,Motocicleta,Ignorado,9999,Caida,2010
Junio,Martes,7,Quiche,99,Hombre,28,No Ebrio,Camion,Verde,9999,Caida,2010
Septiembre,Miercoles,7,Alta Verapaz,99,Hombre,999,Ignorado,Microbus,Azul,9999,Vuelco,2010
Junio,Domingo,7,Guatemala,10,Hombre,49,No Ebrio,Camioneta,Verde,1998,Choque,2010
Julio,Domingo,7,Zacapa,99,Hombre,24,No Ebrio,Automovil,Ignorado,1998,Vuelco,2010
Mayo,Lunes,7,Guatemala,10,Hombre,23,No Ebrio,Camion,Blanco,2009,Colision,2010
Septiembre,Lunes,7,San Marcos,99,Hombre,48,No Ebrio,Pick-up,Blanco,1982,Vuelco,2010
Marzo,Domingo,7,Guatemala,9,Ignorado,999,Ignorado,Bus urbano,Rojo,9999,Vuelco,2010
Enero,Miercoles,7,Retalhuleu,99,Ignorado,999,Ignorado,Bus extraurbano,Amarillo,9999,Colision,2010
Enero,Jueves,7,San Marcos,99,Hombre,24,Ignorado,Automovil,Ignorado,9999,Vuelco,2010
Enero,Viernes,7,Retalhuleu,99,Hombre,62,Ignorado,Pick-up,Ignorado,9999,Vuelco,2010
Febrero,Domingo,7,Huehuetenango,99,Hombre,25,Ignorado,Pick-up,Blanco,1984,Caida,2010
Octubre,Sabado,7,Alta Verapaz,99,Hombre,50,Ebrio,Pick-up,Ignorado,1994,Choque,2010
Abril,Miercoles,7,Alta Verapaz,99,Ignorado,999,Ignorado,Pick-up,Azul,9999,Choque,2010
Enero,Viernes,7,Alta Verapaz,99,Hombre,38,Ignorado,Pick-up,Verde,9999,Vuelco,2010
Diciembre,Lunes,7,Quetzaltenango,99,Hombre,34,No Ebrio,Pick-up,Azul,1996,Colision,2010
Diciembre,Lunes,7,Quetzaltenango,99,Mujer,35,No Ebrio,Pick-up,Rojo,1998,Colision,2010
Octubre,Jueves,7,Peten,99,Hombre,52,Ignorado,Mototaxi,Ignorado,9999,Choque,2010
Noviembre,Sabado,7,Quiche,99,Hombre,36,No Ebrio,Pick-up,Verde,9999,Caida,2010
Diciembre,Sabado,7,Suchitepequez,99,Ignorado,999,Ignorado,Pick-up,Azul,9999,Vuelco,2010
Marzo,Miercoles,7,El Progreso,99,Hombre,42,No Ebrio,Pick-up,Gris,1986,Vuelco,2010
Marzo,Sabado,7,Santa Rosa,99,Hombre,35,No Ebrio,Pick-up,Rojo,9999,Vuelco,2010
Diciembre,Viernes,7,Peten,99,Hombre,999,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Abril,Martes,7,Solola,99,Hombre,54,No Ebrio,Camion,Ignorado,1985,Choque,2010
Mayo,Sabado,8,Guatemala,4,Ignorado,999,Ignorado,Ignorado,Ignorado,9999,Colision,2010
Septiembre,Miercoles,8,Guatemala,9,Hombre,23,No Ebrio,Bus urbano,Blanco,1992,Colision,2010
Marzo,Martes,8,Quetzaltenango,5,Hombre,38,Ignorado,Automovil,Corinto,1994,Colision,2010
Marzo,Martes,8,Quetzaltenango,5,Hombre,45,Ignorado,Microbus,Blanco,9999,Colision,2010
Septiembre,Viernes,8,Guatemala,6,Hombre,28,No Ebrio,Automovil,Negro,1992,Colision,2010
Septiembre,Viernes,8,Guatemala,6,Hombre,999,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Diciembre,Viernes,8,Guatemala,18,Hombre,24,Ignorado,Bus urbano,Rojo,9999,Colision,2010
Diciembre,Viernes,8,Guatemala,18,Hombre,26,Ignorado,Bus urbano,Rojo,9999,Colision,2010
Enero,Sabado,8,Santa Rosa,99,Hombre,20,No Ebrio,Motocicleta,Negro,2008,Colision,2010
Enero,Sabado,8,Santa Rosa,99,Hombre,29,No Ebrio,Camion,Rojo,9999,Colision,2010
Julio,Sabado,8,Escuintla,99,Hombre,24,No Ebrio,Panel,Blanco,9999,Colision,2010
Julio,Sabado,8,Escuintla,99,Hombre,33,No Ebrio,Bus urbano,Rojo,9999,Colision,2010
Junio,Miercoles,8,Quetzaltenango,99,Hombre,26,No Ebrio,Pick-up,Rojo,1986,Colision,2010
Junio,Miercoles,8,Quetzaltenango,99,Hombre,31,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Enero,Sabado,8,Solola,99,Hombre,25,Ignorado,Automovil,Blanco,9999,Colision,2010
Enero,Sabado,8,Solola,99,Ignorado,999,Ignorado,Camion,Blanco,9999,Colision,2010
Junio,Sabado,8,Izabal,99,Hombre,46,No Ebrio,Cabezal,Azul,1997,Colision,2010
Junio,Sabado,8,Izabal,99,Hombre,27,No Ebrio,Cabezal,Blanco,9999,Colision,2010
Septiembre,Sabado,8,Zacapa,99,Ignorado,999,Ignorado,Ignorado,Ignorado,9999,Colision,2010
Septiembre,Sabado,8,Zacapa,99,Hombre,23,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Diciembre,Sabado,8,Escuintla,99,Hombre,44,No Ebrio,Automovil,Rojo,2008,Colision,2010
Marzo,Domingo,8,Guatemala,2,Hombre,39,Ignorado,Taxi,Blanco,1993,Colision,2010
Marzo,Domingo,8,Guatemala,2,Hombre,999,Ignorado,Automovil,Gris,2001,Colision,2010
Mayo,Martes,8,Guatemala,5,Hombre,24,No Ebrio,Bus urbano,Rojo,9999,Colision,2010
Mayo,Martes,8,Guatemala,5,Hombre,29,No Ebrio,Bus urbano,Rojo,9999,Colision,2010
Enero,Domingo,8,Guatemala,8,Hombre,45,Ebrio,Automovil,Verde,1994,Colision,2010
Enero,Domingo,8,Guatemala,8,Hombre,38,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Julio,Jueves,8,Guatemala,13,Hombre,38,Ebrio,Automovil,Negro,9999,Colision,2010
Julio,Jueves,8,Guatemala,13,Hombre,40,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Julio,Jueves,8,Guatemala,3,Hombre,29,No Ebrio,Motocicleta,Verde,2008,Colision,2010
Julio,Jueves,8,Guatemala,3,Mujer,32,No Ebrio,Automovil,Ignorado,9999,Colision,2010
Agosto,Viernes,8,Alta Verapaz,9,Hombre,38,No Ebrio,Camion,Blanco,9999,Colision,2010
Agosto,Viernes,8,Alta Verapaz,9,Hombre,999,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Febrero,Viernes,8,Quetzaltenango,99,Hombre,29,No Ebrio,Jeep,Verde,1988,Colision,2010
Febrero,Viernes,8,Quetzaltenango,99,Hombre,29,No Ebrio,Automovil,Negro,1998,Colision,2010
Febrero,Viernes,8,Quetzaltenango,99,Ignorado,999,Ignorado,Pick-up,Ignorado,9999,Colision,2010
Febrero,Viernes,8,Izabal,99,Hombre,54,Ignorado,Pick-up,Azul,1986,Colision,2010
Agosto,Sabado,8,Guatemala,7,Hombre,999,No Ebrio,Taxi,Verde,2005,Colision,2010
Agosto,Sabado,8,Guatemala,7,Hombre,46,No Ebrio,Automovil,Ignorado,9999,Colision,2010
Marzo,Martes,8,Guatemala,11,Hombre,26,Ignorado,Pick-up,Negro,9999,Colision,2010
Marzo,Martes,8,Guatemala,11,Hombre,19,Ignorado,Automovil,Rojo,9999,Colision,2010
Diciembre,Jueves,8,Escuintla,99,Hombre,51,Ignorado,Camion,Rojo,1979,Colision,2010
Octubre,Sabado,8,Peten,99,Ignorado,999,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Febrero,Sabado,8,Peten,99,Ignorado,999,Ignorado,Microbus,Ignorado,9999,Colision,2010
Febrero,Sabado,8,Peten,99,Mujer,15,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Agosto,Sabado,8,Solola,99,Hombre,28,No Ebrio,Pick-up,Verde,1994,Colision,2010
Agosto,Sabado,8,Solola,99,Hombre,23,No Ebrio,Pick-up,Corinto,9999,Colision,2010
Enero,Jueves,8,Suchitepequez,99,Ignorado,999,Ignorado,Camion,Blanco,9999,Colision,2010
Enero,Jueves,8,Suchitepequez,99,Ignorado,999,Ignorado,Cabezal,Ignorado,9999,Colision,2010
Octubre,Lunes,8,Escuintla,99,Hombre,31,No Ebrio,Cabezal,Blanco,1998,Colision,2010
Abril,Lunes,8,Escuintla,99,Hombre,24,No Ebrio,Pick-up,Corinto,2008,Colision,2010
Abril,Lunes,8,Escuintla,99,Hombre,39,No Ebrio,Motocicleta,Beige,9999,Colision,2010
Febrero,Martes,8,Suchitepequez,99,Hombre,33,Ignorado,Camion,Ignorado,1981,Colision,2010
Febrero,Martes,8,Suchitepequez,99,Hombre,32,Ignorado,Pick-up,Gris,9999,Colision,2010
Junio,Miercoles,8,Escuintla,99,Ignorado,999,Ignorado,Cabezal,Blanco,9999,Colision,2010
Septiembre,Lunes,8,Zacapa,99,Hombre,36,Ebrio,Camion,Amarillo,1976,Colision,2010
Septiembre,Lunes,8,Zacapa,99,Hombre,39,No Ebrio,Pick-up,Gris,1985,Colision,2010
Agosto,Martes,8,Suchitepequez,99,Hombre,50,No Ebrio,Bus urbano,Gris,1985,Colision,2010
Agosto,Martes,8,Suchitepequez,99,Hombre,25,No Ebrio,Motocicleta,Rojo,2008,Colision,2010
Agosto,Miercoles,8,Jutiapa,99,Hombre,14,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Agosto,Miercoles,8,Jutiapa,99,Hombre,43,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Enero,Domingo,8,Solola,99,Hombre,43,Ignorado,Bus extraurbano,Amarillo,1990,Colision,2010
Enero,Domingo,8,Solola,99,Hombre,38,Ignorado,Microbus,Blanco,2009,Colision,2010
Agosto,Jueves,8,Jalapa,99,Hombre,24,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Agosto,Jueves,8,Jalapa,99,Ignorado,999,Ignorado,Pick-up,Negro,9999,Colision,2010
Noviembre,Lunes,8,Escuintla,99,Ignorado,999,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Agosto,Viernes,8,Suchitepequez,99,Hombre,32,No Ebrio,Automovil,Negro,1995,Colision,2010
Agosto,Viernes,8,Suchitepequez,99,Hombre,53,No Ebrio,Bus extraurbano,Verde,1995,Colision,2010
Julio,Jueves,8,Zacapa,99,Hombre,37,Ebrio,Camioneta,Azul,2004,Colision,2010
Julio,Jueves,8,Zacapa,99,Mujer,39,No Ebrio,Camioneta,Gris,2007,Colision,2010
Junio,Sabado,8,Sacatepequez,99,Ignorado,999,Ignorado,Bus urbano,Azul,9999,Colision,2010
Junio,Sabado,8,Sacatepequez,99,Hombre,43,No Ebrio,Cabezal,Blanco,9999,Colision,2010
Marzo,Lunes,8,Chiquimula,99,Ignorado,999,Ignorado,Cabezal,Blanco,9999,Colision,2010
Marzo,Lunes,8,Chiquimula,99,Hombre,40,Ignorado,Pick-up,Gris,9999,Colision,2010
Marzo,Lunes,8,Totonicapan,4,Hombre,28,Ignorado,Camion,Blanco,1994,Colision,2010
Marzo,Lunes,8,Totonicapan,4,Hombre,25,Ignorado,Microbus,Azul,2006,Colision,2010
Diciembre,Jueves,8,Guatemala,7,Hombre,28,No Ebrio,Motocicleta,Azul,2009,Colision,2010
Diciembre,Jueves,8,Guatemala,7,Ignorado,999,Ignorado,Bus urbano,Rojo,9999,Colision,2010
Abril,Domingo,8,Guatemala,1,Hombre,22,No Ebrio,Pick-up,Verde,2008,Colision,2010
Abril,Domingo,8,Guatemala,1,Hombre,23,No Ebrio,Bus urbano,Rojo,9999,Colision,2010
Octubre,Viernes,8,Quetzaltenango,5,Hombre,17,No Ebrio,Microbus,Beige,2007,Colision,2010
Octubre,Viernes,8,Quetzaltenango,5,Hombre,29,No Ebrio,Camion,Blanco,2007,Colision,2010
Octubre,Viernes,8,Quetzaltenango,5,Hombre,40,No Ebrio,Automovil,Verde,9999,Colision,2010
Abril,Domingo,8,Santa Rosa,99,Hombre,25,Ignorado,Pick-up,Beige,9999,Colision,2010
Abril,Domingo,8,Santa Rosa,99,Hombre,40,Ignorado,Automovil,Blanco,9999,Colision,2010
Octubre,Sabado,8,Alta Verapaz,99,Hombre,43,No Ebrio,Pick-up,Blanco,2007,Colision,2010
Octubre,Sabado,8,Alta Verapaz,99,Hombre,38,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Marzo,Miercoles,8,Baja Verapaz,99,Hombre,26,Ignorado,Pick-up,Rojo,1978,Colision,2010
Marzo,Miercoles,8,Baja Verapaz,99,Hombre,25,Ignorado,Motocicleta,Negro,2007,Colision,2010
Julio,Lunes,8,Sacatepequez,99,Hombre,64,Ebrio,Pick-up,Rojo,2007,Colision,2010
Julio,Lunes,8,Sacatepequez,99,Hombre,999,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Abril,Miercoles,8,Chimaltenango,99,Hombre,55,No Ebrio,Microbus,Rojo,2005,Colision,2010
Abril,Miercoles,8,Retalhuleu,99,Hombre,42,No Ebrio,Bus urbano,Amarillo,1985,Colision,2010
Abril,Miercoles,8,Retalhuleu,99,Hombre,35,No Ebrio,Bus urbano,Negro,9999,Colision,2010
Julio,Martes,8,El Progreso,99,Hombre,31,No Ebrio,Pick-up,Negro,2009,Colision,2010
Julio,Martes,8,El Progreso,99,Ignorado,999,Ignorado,Bus extraurbano,Azul,9999,Colision,2010
Enero,Jueves,8,Guatemala,11,Hombre,25,Ignorado,Motocicleta,Rojo,2004,Colision,2010
Enero,Jueves,8,Guatemala,11,Mujer,18,No Ebrio,Automovil,Ignorado,9999,Colision,2010
Noviembre,Lunes,8,Escuintla,99,Hombre,34,No Ebrio,Automovil,Negro,2008,Colision,2010
Noviembre,Lunes,8,Escuintla,99,Hombre,22,No Ebrio,Pick-up,Azul,2010,Colision,2010
Febrero,Domingo,8,Zacapa,99,Ignorado,999,Ignorado,Cabezal,Blanco,1992,Colision,2010
Febrero,Domingo,8,Zacapa,99,Hombre,35,Ignorado,Automovil,Ignorado,9999,Colision,2010
Mayo,Lunes,8,Suchitepequez,99,Hombre,20,No Ebrio,Motocicleta,Rojo,2005,Colision,2010
Mayo,Lunes,8,Suchitepequez,99,Hombre,39,No Ebrio,Mototaxi,Rojo,9999,Colision,2010
Noviembre,Miercoles,8,Guatemala,10,Hombre,29,No Ebrio,Automovil,Azul,9999,Colision,2010
Noviembre,Miercoles,8,Guatemala,10,Hombre,34,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Diciembre,Lunes,8,Izabal,99,Hombre,40,No Ebrio,Automovil,Verde,2000,Colision,2010
Diciembre,Lunes,8,Izabal,99,Hombre,26,No Ebrio,Mototaxi,Rojo,2010,Colision,2010
Julio,Viernes,8,Quiche,99,Mujer,28,Ignorado,Pick-up,Negro,2005,Caida,2010
Julio,Viernes,8,Quiche,99,Mujer,35,Ignorado,Pick-up,Negro,2005,Caida,2010
Mayo,Lunes,8,Chimaltenango,99,Hombre,40,No Ebrio,Pick-up,Corinto,1993,Colision,2010
Mayo,Lunes,8,Chimaltenango,99,Hombre,48,No Ebrio,Automovil,Azul,2010,Colision,2010
Agosto,Domingo,8,Guatemala,1,Hombre,25,No Ebrio,Automovil,Rojo,1988,Colision,2010
Agosto,Domingo,8,Guatemala,1,Hombre,21,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Agosto,Domingo,8,Guatemala,1,Hombre,23,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Febrero,Domingo,8,El Progreso,99,Ignorado,999,Ignorado,Cabezal,Corinto,9999,Colision,2010
Junio,Miercoles,8,Guatemala,9,Hombre,20,No Ebrio,Motocicleta,Blanco,2008,Colision,2010
Junio,Miercoles,8,Guatemala,9,Ignorado,999,Ignorado,Ignorado,Ignorado,9999,Colision,2010
Mayo,Viernes,8,Guatemala,99,Hombre,28,Ebrio,Bus urbano,Rojo,1995,Colision,2010
Mayo,Viernes,8,Guatemala,99,Hombre,35,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Septiembre,Viernes,8,Zacapa,99,Hombre,27,No Ebrio,Camion,Blanco,1990,Colision,2010
Septiembre,Viernes,8,Zacapa,99,Hombre,59,No Ebrio,Cabezal,Blanco,2002,Colision,2010
Julio,Sabado,8,Peten,99,Mujer,34,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Julio,Sabado,8,Peten,99,Ignorado,999,Ignorado,Mototaxi,Ignorado,9999,Colision,2010
Septiembre,Domingo,8,Retalhuleu,99,Hombre,60,No Ebrio,Camioneta,Celeste,1981,Colision,2010
Septiembre,Domingo,8,Retalhuleu,99,Hombre,26,Ebrio,Pick-up,Azul,1985,Colision,2010
Septiembre,Martes,8,Guatemala,12,Hombre,41,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Septiembre,Martes,8,Guatemala,12,Ignorado,999,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Septiembre,Martes,8,Escuintla,99,Ignorado,999,Ignorado,Bus urbano,Verde,9999,Colision,2010
Abril,Miercoles,8,Peten,99,Hombre,999,No Ebrio,Pick-up,Blanco,9999,Colision,2010
Abril,Miercoles,8,Peten,99,Hombre,42,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Abril,Jueves,8,Guatemala,9,Hombre,63,No Ebrio,Automovil,Ignorado,9999,Colision,2010
Abril,Jueves,8,Guatemala,9,Hombre,21,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Marzo,Viernes,8,Zacapa,99,Hombre,24,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Diciembre,Miercoles,8,Escuintla,99,Hombre,28,Ignorado,Camioneta,Negro,1994,Colision,2010
Diciembre,Miercoles,8,Escuintla,99,Hombre,25,Ignorado,Microbus,Anaranjado,2001,Colision,2010
Julio,Lunes,8,Quetzaltenango,99,Hombre,33,Ignorado,Pick-up,Corinto,2008,Colision,2010
Julio,Lunes,8,Quetzaltenango,99,Ignorado,999,Ignorado,Bus extraurbano,Ignorado,9999,Colision,2010
Marzo,Sabado,8,Santa Rosa,99,Hombre,30,No Ebrio,Automovil,Gris,9999,Colision,2010
Marzo,Sabado,8,Santa Rosa,99,Hombre,21,Ignorado,Microbus,Verde,9999,Colision,2010
Julio,Miercoles,8,Guatemala,21,Hombre,22,No Ebrio,Automovil,Corinto,1991,Colision,2010
Julio,Miercoles,8,Guatemala,21,Hombre,41,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Diciembre,Jueves,8,Quiche,99,Ignorado,999,Ignorado,Bus extraurbano,Amarillo,1984,Colision,2010
Diciembre,Jueves,8,Quiche,99,Hombre,26,Ignorado,Bus extraurbano,Verde,1992,Colision,2010
Agosto,Martes,8,Zacapa,99,Hombre,25,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Agosto,Martes,8,Zacapa,99,Hombre,35,No Ebrio,Pick-up,Verde,9999,Colision,2010
Marzo,Miercoles,8,Escuintla,99,Ignorado,999,Ignorado,Bus extraurbano,Rojo,1987,Colision,2010
Marzo,Miercoles,8,Escuintla,99,Hombre,46,No Ebrio,Pick-up,Azul,1989,Colision,2010
Julio,Sabado,8,Chiquimula,99,Ignorado,999,Ignorado,Camion,Ignorado,9999,Colision,2010
Abril,Jueves,8,Zacapa,99,Hombre,32,No Ebrio,Pick-up,Gris,9999,Colision,2010
Julio,Sabado,8,El Progreso,99,Ignorado,999,Ignorado,Camion,Ignorado,9999,Colision,2010
Abril,Viernes,8,Guatemala,10,Hombre,66,No Ebrio,Pick-up,Azul,2007,Colision,2010
Abril,Viernes,8,Guatemala,10,Hombre,32,No Ebrio,Motocicleta,Gris,9999,Colision,2010
Febrero,Miercoles,8,San Marcos,99,Ignorado,999,Ignorado,Bus extraurbano,Blanco,9999,Vuelco,2010
Septiembre,Viernes,8,Quiche,99,Hombre,26,No Ebrio,Camion,Amarillo,1989,Vuelco,2010
Julio,Lunes,8,Guatemala,11,Hombre,25,No Ebrio,Automovil,Cafe,1998,Choque,2010
Junio,Domingo,8,Huehuetenango,99,Ignorado,999,Ignorado,Pick-up,Blanco,9999,Vuelco,2010
Febrero,Miercoles,8,Zacapa,99,Hombre,47,No Ebrio,Pick-up,Gris,2009,Choque,2010
Enero,Domingo,8,Guatemala,1,Hombre,43,Ebrio,Automovil,Negro,1991,Choque,2010
Abril,Domingo,8,Chiquimula,99,Hombre,51,Ignorado,Camioneta,Ignorado,2007,Vuelco,2010
Agosto,Sabado,8,Huehuetenango,99,Hombre,28,Ebrio,Pick-up,Rojo,1985,Caida,2010
Enero,Jueves,8,Santa Rosa,99,Ignorado,999,Ignorado,Bus extraurbano,Ignorado,9999,Caida,2010
Septiembre,Lunes,8,Escuintla,99,Ignorado,999,Ignorado,Bus extraurbano,Verde,9999,Colision,2010
Septiembre,Lunes,8,Retalhuleu,99,Ignorado,999,Ignorado,Pick-up,Rojo,2003,Colision,2010
Septiembre,Lunes,8,Retalhuleu,99,Hombre,30,Ignorado,Automovil,Gris,2001,Colision,2010
Julio,Viernes,8,Izabal,99,Hombre,59,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Julio,Sabado,8,Quetzaltenango,99,Hombre,28,Ebrio,Motocicleta,Negro,9999,Choque,2010
Octubre,Sabado,8,Alta Verapaz,99,Hombre,53,No Ebrio,Pick-up,Negro,9999,Vuelco,2010
Marzo,Jueves,8,Peten,99,Hombre,39,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Agosto,Viernes,8,Alta Verapaz,99,Hombre,35,No Ebrio,Motocicleta,Ignorado,9999,Caida,2010
Septiembre,Lunes,8,Guatemala,12,Mujer,29,No Ebrio,Automovil,Ignorado,1993,Choque,2010
Septiembre,Lunes,8,Huehuetenango,99,Hombre,48,No Ebrio,Camion,Ignorado,9999,Vuelco,2010
Mayo,Domingo,8,Quiche,99,Hombre,28,No Ebrio,Microbus,Azul,2007,Caida,2010
Noviembre,Miercoles,8,Escuintla,99,Hombre,50,No Ebrio,Automovil,Blanco,1989,Colision,2010
Marzo,Domingo,8,San Marcos,99,Ignorado,999,Ignorado,Pick-up,Negro,9999,Vuelco,2010
Agosto,Jueves,8,Zacapa,99,Hombre,24,No Ebrio,Automovil,Ignorado,9999,Choque,2010
Marzo,Viernes,8,Guatemala,6,Ignorado,999,Ignorado,Bus extraurbano,Rojo,9999,Choque,2010
Diciembre,Miercoles,8,Baja Verapaz,99,Hombre,41,Ignorado,Cabezal,Ignorado,9999,Caida,2010
Abril,Martes,8,Baja Verapaz,99,Hombre,46,No Ebrio,Pick-up,Corinto,1989,Vuelco,2010
Junio,Martes,9,Retalhuleu,99,Hombre,28,No Ebrio,Camion,Ignorado,1983,Colision,2010
Junio,Martes,9,Retalhuleu,99,Hombre,47,No Ebrio,Motocicleta,Rojo,2008,Colision,2010
Mayo,Sabado,9,Santa Rosa,99,Ignorado,999,Ignorado,Bus extraurbano,Ignorado,9999,Colision,2010
Julio,Sabado,9,Huehuetenango,99,Hombre,999,No Ebrio,Pick-up,Ignorado,9999,Colision,2010
