mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Mayo,Domingo,9,Suchitepequez,99,Hombre,32,No Ebrio,Pick-up,Cafe,9999,Vuelco,2010
Febrero,Martes,11,Peten,99,Hombre,35,Ignorado,Pick-up,Rojo,1995,Colision,2010
Septiembre,Miercoles,12,Huehuetenango,10,Mujer,50,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Abril,Domingo,13,Izabal,99,Hombre,34,No Ebrio,Bus urbano,Ignorado,9999,Colision,2010
Enero,Sabado,13,Zacapa,99,Hombre,30,Ignorado,Pick-up,Azul,9999,Colision,2010
Abril,Lunes,13,Peten,99,Hombre,35,No Ebrio,Microbus,Blanco,9999,Vuelco,2010
Abril,Domingo,15,Chimaltenango,99,Hombre,26,Ignorado,Motocicleta,Azul,9999,Colision,2010
Diciembre,Domingo,15,Escuintla,99,Hombre,48,Ignorado,Camioneta,Corinto,9999,Colision,2010
Mayo,Domingo,16,Guatemala,7,Hombre,27,No Ebrio,Automovil,Negro,1997,Colision,2010
Junio,Lunes,16,Santa Rosa,99,Hombre,40,No Ebrio,Pick-up,Rojo,9999,Vuelco,2010
Octubre,Domingo,19,Izabal,99,Ignorado,999,Ignorado,Camioneta,Ignorado,9999,Choque,2010
Noviembre,Sabado,12,Peten,99,Hombre,38,No Ebrio,Microbus,Beige,9999,Vuelco,2010
Diciembre,Martes,16,San Marcos,99,Hombre,31,Ignorado,Pick-up,Corinto,9999,Choque,2010
Abril,Sabado,17,Izabal,99,Ignorado,999,Ignorado,Pick-up,Gris,9999,Caida,2010
Octubre,Lunes,15,Chiquimula,99,Hombre,999,Ignorado,Pick-up,Ignorado,9999,Colision,2010
Mayo,Lunes,19,Escuintla,99,Hombre,38,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Marzo,Viernes,20,Sacatepequez,99,Hombre,40,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Octubre,Viernes,20,Huehuetenango,99,Ignorado,999,Ignorado,Pick-up,Azul,9999,Vuelco,2010
Octubre,Viernes,0,Zacapa,99,Hombre,42,No Ebrio,Pick-up,Azul,9999,Colision,2010
Noviembre,Sabado,0,Guatemala,99,Hombre,21,No Ebrio,Motocicleta,Gris,9999,Colision,2010
Abril,Sabado,0,Guatemala,1,Hombre,19,Ignorado,Automovil,Negro,9999,Colision,2010
Enero,Domingo,0,Jutiapa,99,Hombre,23,Ignorado,Motocicleta,Azul,9999,Colision,2010
Diciembre,Jueves,0,Guatemala,1,Hombre,41,No Ebrio,Automovil,Blanco,2007,Colision,2010
Diciembre,Viernes,0,Quetzaltenango,99,Hombre,25,Ignorado,Automovil,Azul,9999,Colision,2010
Febrero,Miercoles,0,Sacatepequez,99,Hombre,21,Ignorado,Pick-up,Blanco,9999,Colision,2010
Marzo,Martes,0,Chiquimula,99,Hombre,21,Ignorado,Pick-up,Verde,1994,Vuelco,2010
Diciembre,Viernes,0,Guatemala,13,Hombre,18,Ebrio,Motocicleta,Azul,2007,Choque,2010
Enero,Domingo,0,Suchitepequez,99,Hombre,20,Ignorado,Camioneta,Negro,2000,Vuelco,2010
Noviembre,Domingo,0,Peten,99,Hombre,23,No Ebrio,Pick-up,Ignorado,9999,Choque,2010
Febrero,Domingo,0,San Marcos,99,Hombre,23,Ignorado,Pick-up,Beige,9999,Vuelco,2010
Diciembre,Sabado,0,Chiquimula,99,Hombre,31,Ebrio,Motocicleta,Rojo,9999,Choque,2010
Septiembre,Miercoles,1,Guatemala,18,Hombre,52,No Ebrio,Cabezal,Blanco,2008,Colision,2010
Mayo,Sabado,1,Peten,99,Hombre,24,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Noviembre,Sabado,1,Guatemala,10,Hombre,25,Ignorado,Automovil,Azul,9999,Colision,2010
Febrero,Viernes,1,Zacapa,99,Hombre,55,Ignorado,Cabezal,Blanco,2002,Colision,2010
Abril,Domingo,1,Huehuetenango,99,Hombre,40,No Ebrio,Pick-up,Ignorado,9999,Colision,2010
Julio,Domingo,1,Jalapa,99,Hombre,29,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Diciembre,Jueves,1,Santa Rosa,99,Hombre,54,Ignorado,Tractor,Ignorado,9999,Colision,2010
Agosto,Lunes,1,Peten,99,Hombre,24,No Ebrio,Motocicleta,Rojo,9999,Choque,2010
Junio,Lunes,1,El Progreso,99,Hombre,999,Ignorado,Microbus,Gris,9999,Choque,2010
Noviembre,Sabado,1,Guatemala,5,Hombre,999,Ignorado,Automovil,Rojo,2005,Caida,2010
Mayo,Lunes,1,Baja Verapaz,99,Hombre,36,Ignorado,Pick-up,Verde,9999,Caida,2010
Febrero,Viernes,1,Escuintla,99,Hombre,999,No Ebrio,Cabezal,Ignorado,9999,Caida,2010
Julio,Domingo,1,Guatemala,10,Hombre,34,Ignorado,Camioneta,Negro,9999,Choque,2010
Julio,Lunes,1,Peten,99,Hombre,28,No Ebrio,Motocicleta,Blanco,9999,Choque,2010
Enero,Viernes,1,Guatemala,18,Hombre,26,Ignorado,Camioneta,Corinto,9999,Vuelco,2010
Julio,Jueves,1,Zacapa,99,Hombre,24,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Enero,Domingo,1,Chimaltenango,99,Hombre,21,Ignorado,Pick-up,Ignorado,9999,Choque,2010
Julio,Sabado,1,Zacapa,99,Hombre,25,Ebrio,Motocicleta,Negro,2009,Vuelco,2010
