dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
1,15,Enero,Domingo,Guatemala,Ignorado,Hombre,38,Ignorado,Mayor,Pick up,Nissan,Colisión,2022
1,15,Enero,Domingo,Guatemala,Ignorado,Hombre,17,Ignorado,Menor,Motocicleta,Freedom,Colisión,2022
1,15,Enero,Domingo,Guatemala,18,Hombre,52,Ignorado,Mayor,Pick up,Nissan,Colisión,2022
1,15,Enero,Domingo,Guatemala,18,Hombre,22,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2022
1,20,Enero,Domingo,Guatemala,6,Hombre,30,Ignorado,Mayor,Motocicleta,Bajaj,Derrape,2022
1,15,Enero,Domingo,Guatemala,6,Hombre,22,Ignorado,Mayor,Motocicleta,Suzuki,Choque,2022
1,23,Enero,Domingo,Guatemala,13,Hombre,48,Ignorado,Mayor,Motocicleta,Ignorado,Derrape,2022
1,23,Enero,Domingo,Guatemala,12,Hombre,42,Ignorado,Mayor,Automóvil,Toyota,Colisión,2022
1,23,Enero,Domingo,Guatemala,12,Hombre,37,Ignorado,Mayor,Motocicleta,Asia Hero,Colisión,2022
1,10,Enero,Domingo,Guatemala,12,Mujer,43,Ignorado,Mayor,Camioneta,Honda,Colisión,2022
1,10,Enero,Domingo,Guatemala,12,Hombre,18,Ignorado,Mayor,Motocicleta,TVS Apache,Colisión,2022
1,17,Enero,Domingo,Guatemala,Ignorado,Hombre,21,Ignorado,Mayor,Pick up,Ignorado,Choque,2022
1,10,Enero,Domingo,Guatemala,Ignorado,Hombre,27,Ignorado,Mayor,Motocicleta,Asia Hero,Choque,2022
1,0,Enero,Domingo,Guatemala,Ignorado,Hombre,38,Ignorado,Mayor,Motocicleta,Haojue,Choque,2022
1,23,Enero,Domingo,Guatemala,Ignorado,Hombre,22,Ignorado,Mayor,Motocicleta,Ignorado,Derrape,2022
1,1,Enero,Domingo,Guatemala,Ignorado,Hombre,23,Ignorado,Mayor,Motocicleta,Ignorado,Derrape,2022
1,8,Enero,Domingo,Zacapa,Ignorado,Hombre,35,Ignorado,Mayor,Cabezal,Freightliner,Colisión,2022
1,8,Enero,Domingo,Zacapa,Ignorado,Hombre,Ignorada,Ignorado,Mayor,Automóvil,Mazda,Colisión,2022
1,2,Enero,Domingo,Escuintla,Ignorado,Hombre,21,Ignorado,Mayor,Motocicleta,Ignorado,Choque,2022
1,14,Enero,Domingo,Escuintla,Ignorado,Hombre,25,Ignorado,Mayor,Motocicleta,Ignorado,Derrape,2022
1,22,Enero,Domingo,Escuintla,Ignorado,Hombre,27,Ignorado,Mayor,Motocicleta,Bajaj,Derrape,2022
1,3,Enero,Domingo,Santa Rosa,Ignorado,Hombre,35,Ignorado,Mayor,Camioneta,Honda,Colisión,2022
1,3,Enero,Domingo,Santa Rosa,Ignorado,Hombre,Ignorada,Ignorado,Mayor,Automóvil,Hyundai,Colisión,2022
1,2,Enero,Domingo,Santa Rosa,Ignorado,Hombre,24,Ignorado,Mayor,Motocicleta,Asia Hero,Colisión,2022
1,13,Enero,Domingo,Suchitepéquez,Ignorado,Hombre,44,Ignorado,Mayor,Camioneta,Hyundai,Colisión,2022
1,13,Enero,Domingo,Suchitepéquez,Ignorado,Hombre,Ignorada,Ignorado,Mayor,Motocicleta,Honda,Colisión,2022
1,15,Enero,Domingo,Suchitepéquez,Ignorado,Hombre,51,Ignorado,Mayor,Automóvil,Hyundai,Colisión,2022
1,15,Enero,Domingo,Suchitepéquez,Ignorado,Hombre,40,Ignorado,Mayor,Pick up,Nissan,Colisión,2022
1,20,Enero,Domingo,Retalhuleu,Ignorado,Hombre,34,Ignorado,Mayor,Cuatrimoto,Ignorado,Vuelco,2022
1,11,Enero,Domingo,Quetzaltenango,Ignorado,Hombre,38,Ignorado,Mayor,Camioneta,Suzuki,Colisión,2022
1,11,Enero,Domingo,Quetzaltenango,Ignorado,Mujer,44,Ignorado,Mayor,Pick up,Ignorado,Colisión,2022
1,15,Enero,Domingo,San Marcos,Ignorado,Hombre,Ignorada,Ignorado,Mayor,Pick up,Toyota,Embarrancó,2022
1,21,Enero,Domingo,San Marcos,Ignorado,Hombre,50,Ignorado,Mayor,Pick up,Ignorado,Embarrancó,2022
1,16,Enero,Domingo,Baja Verapaz,Ignorado,Hombre,25,No Ebrio,Mayor,Motocicleta,Ignorado,Derrape,2022
1,11,Enero,Domingo,El Progreso,Ignorado,Hombre,28,Ignorado,Mayor,Motocicleta,Ignorado,Derrape,2022
