"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2017,1,"10","06:00 a 11:59","Mañana","Enero","Domingo","Sololá","Sololá","Ignorada","Hombre","39","35-39","35-39","35 - 39 ","No ebrio","Mayor","Microbús","Toyota","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,1,"10","06:00 a 11:59","Mañana","Enero","Domingo","Sololá","Sololá","Ignorada","Hombre","23","20-24","20-24","20 - 24 ","Ebrio","Mayor","Moto taxi","Bajaj","Rojo","2007","2000-2009","Colisión","2017"
2017,1,"19","18:00 a 23:59","Noche","Enero","Domingo","San Andrés Itzapa","Chimaltenango","Ignorada","Hombre","28","25-29","25-29","25 - 29 ","Ebrio","Mayor","Pick up","Nissan","Gris","Ignorado","Ignorado","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","San Juan Sacatepéquez","Guatemala","Ignorada","Hombre","32","30-34","30-34","30 - 34 ","No ebrio","Mayor","Automóvil","Nissan","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","San Juan Sacatepéquez","Guatemala","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Ignorado","Automóvil","Ignorado","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,1,"15","12:00 a 17:59","Tarde","Enero","Domingo","San José del Golfo","Guatemala","Ignorada","Hombre","21","20-24","20-24","20 - 24 ","No ebrio","Mayor","Camión","Kia","Blanco","2007","2000-2009","Colisión","2017"
2017,1,"15","12:00 a 17:59","Tarde","Enero","Domingo","San José del Golfo","Guatemala","Ignorada","Hombre","22","20-24","20-24","20 - 24 ","No ebrio","Mayor","Motocicleta","Bajaj","Negro","2016","2010-2018","Colisión","2017"
2017,1,"22","18:00 a 23:59","Noche","Enero","Domingo","Fraijanes","Guatemala","Ignorada","Hombre","26","25-29","25-29","25 - 29 ","No ebrio","Mayor","Motocicleta","Asia Hero","Negro","2016","2010-2018","Colisión","2017"
2017,1,"22","18:00 a 23:59","Noche","Enero","Domingo","Fraijanes","Guatemala","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Ignorado","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"12","12:00 a 17:59","Tarde","Enero","Domingo","San José La Máquina","Suchitepéquez","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Ignorado","Automóvil","Ignorado","Azul","Ignorado","Ignorado","Colisión","2017"
2017,1,"12","12:00 a 17:59","Tarde","Enero","Domingo","San José La Máquina","Suchitepéquez","Ignorada","Hombre","34","30-34","30-34","30 - 34 ","Ignorado","Mayor","Motocicleta","Bajaj","Rojo","Ignorado","Ignorado","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","San Bernardino","Suchitepéquez","Ignorada","Hombre","20","20-24","20-24","20 - 24 ","Ignorado","Mayor","Automóvil","Mazda","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Enero","Domingo","San Bernardino","Suchitepéquez","Ignorada","Hombre","36","35-39","35-39","35 - 39 ","Ignorado","Mayor","Motocicleta","Bajaj","Rojo","2007","2000-2009","Colisión","2017"
2017,1,"11","06:00 a 11:59","Mañana","Enero","Domingo","Chiquimula","Chiquimula","Ignorada","Hombre","34","30-34","30-34","30 - 34 ","Ignorado","Mayor","Automóvil","Toyota","Rojo","2007","2000-2009","Colisión","2017"
2017,1,"11","06:00 a 11:59","Mañana","Enero","Domingo","Chiquimula","Chiquimula","Ignorada","Hombre","44","40-44","40-44","40 - 44 ","Ignorado","Mayor","Automóvil","Mazda","Rojo","1999","1990-1999","Colisión","2017"
2017,1,"11","06:00 a 11:59","Mañana","Enero","Domingo","Chiquimula","Chiquimula","Ignorada","Hombre","29","25-29","25-29","25 - 29 ","No ebrio","Mayor","Automóvil","Toyota","Rojo","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Enero","Domingo","Río Hondo","Zacapa","Ignorada","Hombre","60","60-64","60 y más","60 - 64 ","Ebrio","Mayor","Camioneta","Kia","Gris","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Enero","Domingo","Río Hondo","Zacapa","Ignorada","Mujer","25","25-29","25-29","25 - 29 ","No ebrio","Mayor","Automóvil","Toyota","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"18","18:00 a 23:59","Noche","Enero","Domingo","San José","Escuintla","Ignorada","Hombre","26","25-29","25-29","25 - 29 ","Ignorado","Mayor","Cuatrimoto","Ignorado","Rojo","2015","2010-2018","Colisión","2017"
2017,1,"11","06:00 a 11:59","Mañana","Enero","Domingo","Guatemala","Guatemala","10","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Choque","2017"
2017,1,"15","12:00 a 17:59","Tarde","Enero","Domingo","Santa Rosa de Lima","Santa Rosa","Ignorada","Hombre","18","15-19","15-19","15 - 19 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Choque","2017"
2017,2,"1","00:00 a 05:59","Mañana","Enero","Lunes","San Juan Sacatepéquez","Guatemala","Ignorada","Hombre","24","20-24","20-24","20 - 24 ","No ebrio","Mayor","Pick up","Toyota","Blanco","1993","1990-1999","Choque","2017"
2017,2,"0","00:00 a 05:59","Mañana","Enero","Lunes","Petapa","Guatemala","Ignorada","Hombre","25","25-29","25-29","25 - 29 ","Ebrio","Mayor","Motocicleta","Honda","Negro","2016","2010-2018","Choque","2017"
2017,2,"14","12:00 a 17:59","Tarde","Enero","Lunes","Guatemala","Guatemala","1","Hombre","44","40-44","40-44","40 - 44 ","Ignorado","Mayor","Camioneta","Toyota","Corinto","2008","2000-2009","Colisión","2017"
2017,2,"14","12:00 a 17:59","Tarde","Enero","Lunes","Guatemala","Guatemala","1","Hombre","23","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,2,"8","06:00 a 11:59","Mañana","Enero","Lunes","San Pedro Pinula","Jalapa","Ignorada","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Camión","Nissan","Blanco","1995","1990-1999","Colisión","2017"
2017,2,"8","06:00 a 11:59","Mañana","Enero","Lunes","San Pedro Pinula","Jalapa","Ignorada","Hombre","36","35-39","35-39","35 - 39 ","Ignorado","Mayor","Motocicleta","Italika","Rojo","2016","2010-2018","Colisión","2017"
2017,2,"17","12:00 a 17:59","Tarde","Enero","Lunes","Monjas","Jalapa","Ignorada","Hombre","44","40-44","40-44","40 - 44 ","No ebrio","Mayor","Pick up","Chevrolet","Blanco","2002","2000-2009","Colisión","2017"
2017,2,"17","12:00 a 17:59","Tarde","Enero","Lunes","Monjas","Jalapa","Ignorada","Hombre","62","60-64","60 y más","60 - 64 ","No ebrio","Mayor","Pick up","Toyota","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,2,"16","12:00 a 17:59","Tarde","Enero","Lunes","Chiquimula","Chiquimula","Ignorada","Hombre","46","45-49","45-49","45 - 49 ","Ebrio","Mayor","Pick up","Toyota","Blanco","1989","1980-1989","Colisión","2017"
2017,2,"16","12:00 a 17:59","Tarde","Enero","Lunes","Chiquimula","Chiquimula","Ignorada","Mujer","28","25-29","25-29","25 - 29 ","No ebrio","Mayor","Motocicleta","Suzuki","Rojo","2016","2010-2018","Colisión","2017"
2017,2,"16","12:00 a 17:59","Tarde","Enero","Lunes","Chiquimula","Chiquimula","Ignorada","Hombre","61","60-64","60 y más","60 - 64 ","No ebrio","Mayor","Camioneta","Isuzu","Verde","Ignorado","Ignorado","Colisión","2017"
