dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,sexo_pil,zona_ocu,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
1,22,Enero,Viernes,Alta Verapaz,Hombre,Ignorada,45,No ebrio,Mayor,Camioneta,Nissan,Colisión,2016
1,23,Enero,Viernes,Izabal,Hombre,Ignorada,41,Ignorado,Mayor,Camioneta,Toyota,Colisión,2016
1,23,Enero,Viernes,Izabal,Hombre,Ignorada,37,Ignorado,Mayor,Automóvil,Toyota,Colisión,2016
1,12,Enero,Viernes,Chimaltenango,Hombre,Ignorada,57,No ebrio,Mayor,Panel,Ignorado,Colisión,2016
1,12,Enero,Viernes,Chimaltenango,Hombre,Ignorada,Ignorada,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
2,2,Enero,Sábado,Guatemala,Hombre,1,42,No ebrio,Mayor,Moto taxi,Mazda,Colisión,2016
2,2,Enero,Sábado,Guatemala,Hombre,1,19,No ebrio,Mayor,Motocicleta,Bajaj,Colisión,2016
2,21,Enero,Sábado,Guatemala,Hombre,1,29,Ebrio,Mayor,Automóvil,Honda,Colisión,2016
2,21,Enero,Sábado,Guatemala,Hombre,1,32,Ebrio,Mayor,Automóvil,Honda,Colisión,2016
2,23,Enero,Sábado,Chiquimula,Hombre,Ignorada,23,No ebrio,Mayor,Motocicleta,Serpento,Choque,2016
2,14,Enero,Sábado,Zacapa,Hombre,Ignorada,45,No ebrio,Mayor,Cabezal,Freightliner,Colisión,2016
2,14,Enero,Sábado,Zacapa,Mujer,Ignorada,31,No ebrio,Mayor,Camioneta,Honda,Colisión,2016
2,16,Enero,Sábado,Zacapa,Hombre,Ignorada,32,No ebrio,Mayor,Camión,Toyota,Colisión,2016
2,16,Enero,Sábado,Zacapa,Hombre,Ignorada,35,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2016
2,19,Enero,Sábado,Zacapa,Hombre,Ignorada,61,No ebrio,Mayor,Automóvil,Ignorado,Colisión,2016
2,18,Enero,Sábado,Zacapa,Hombre,Ignorada,29,No ebrio,Mayor,Camioneta,Toyota,Colisión,2016
2,18,Enero,Sábado,Zacapa,Hombre,Ignorada,50,No ebrio,Mayor,Automóvil,Ignorado,Colisión,2016
2,18,Enero,Sábado,Zacapa,Hombre,Ignorada,34,No ebrio,Mayor,Bus urbano,Ignorado,Colisión,2016
2,6,Enero,Sábado,Escuintla,Hombre,Ignorada,43,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
2,6,Enero,Sábado,Escuintla,Hombre,Ignorada,Ignorada,No ebrio,Mayor,Camión,Toyota,Colisión,2016
2,16,Enero,Sábado,Escuintla,Hombre,Ignorada,31,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
2,16,Enero,Sábado,Escuintla,Hombre,Ignorada,Ignorada,No ebrio,Mayor,Automóvil,Ignorado,Colisión,2016
2,23,Enero,Sábado,Huehuetenango,Hombre,Ignorada,33,Ebrio,Mayor,Motocicleta,Yumbo dakar,Colisión,2016
2,14,Enero,Sábado,Baja Verapaz,Hombre,Ignorada,33,No ebrio,Mayor,Microbús,Ignorado,Colisión,2016
2,14,Enero,Sábado,Baja Verapaz,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
2,15,Enero,Sábado,Quiche,Hombre,Ignorada,44,No ebrio,Mayor,Camión,Ignorado,Colisión,2016
2,15,Enero,Sábado,Quiche,Hombre,Ignorada,74,No ebrio,Mayor,Ignorado,Ignorado,Colisión,2016
2,15,Enero,Sábado,Quiche,Hombre,Ignorada,21,No ebrio,Mayor,Ignorado,Mazda,Colisión,2016
